,index,queries,response,date
78,115,"Russia, Vladimir Putin, Emmanuel Macron, President of France, Dmitry Peskov",5,1900-07-02 14:00:00
79,0,"Joe Biden, Laura Loomer, Air Force One, Medicine, Delaware",5,1900-07-05 21:00:00
80,6,"Joe Biden, George Stephanopoulos, Democratic Party, Donald Trump, ABC News",5,1900-07-05 21:00:00
81,31,"Hunter Biden, Fox News, Joe Biden, Mock trial",5,1900-07-05 21:00:00
82,37,"Iran, Saeed Jalili, Presidential election, Masoud Pezeshkian",5,1900-07-05 21:00:00
83,51,"France, National Rally, Far-right politics, Agriculture, 2024, Jordan Bardella",5,1900-07-05 21:00:00
84,64,Joe Biden,5,1900-07-05 21:00:00
85,72,"Venezuela, Miami, Indictment, David Rivera, Presidential election",5,1900-07-05 21:00:00
86,9,"Joe Biden, George Stephanopoulos, Democratic Party, Donald Trump, ABC News",5,1900-07-05 20:00:00
87,40,"Iran, Saeed Jalili, Presidential election",5,1900-07-05 20:00:00
88,52,"Arkansas, Abortion, Ballot",5,1900-07-05 20:00:00
89,5,"Rudy Giuliani, Disbarment, Donald Trump, Mayor of New York City",5,1900-07-02 15:00:00
90,10,"Volodymyr Zelenskyy, Russia, Vladimir Putin, President of Ukraine, Russo-Ukrainian War",5,1900-07-02 15:00:00
91,31,"Marianne Williamson, Democratic Party, Joe Biden, Nomination",5,1900-07-02 15:00:00
92,39,"Kamala Harris, Joe Biden",5,1900-07-02 15:00:00
93,40,"Joe Biden, Extreme weather",5,1900-07-02 15:00:00
94,48,"European Central Bank, Jerome Powell, Central bank, Federal Reserve System, Christine Lagarde, Monetary policy, Chair of the Federal Reserve of the United States",5,1900-07-02 15:00:00
95,64,"Türkiye, Recep Tayyip Erdoğan, NATO summit, Europe, Collective security, United States Department of State, John R. Bass",5,1900-07-02 15:00:00
96,36,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",5,1900-07-02 01:00:00
97,60,"Supreme Court of the United States, Corruption",5,1900-07-02 01:00:00
98,61,"Supreme Court of the United States, Joe Biden, Donald Trump, Executive Branch, Government",5,1900-07-02 01:00:00
99,73,"California, Law, Gavin Newsom",5,1900-07-02 01:00:00
100,75,"Tesla, Constellation Brands, Stock, Jerome Powell, Federal Reserve System, Earnings",5,1900-07-02 01:00:00
101,77,"Bolivia, Coup d'état, Luis Arce",5,1900-07-02 01:00:00
102,0,"Joe Biden, Donald Trump, Debate, CNN, President of the United States",5,1900-06-27 23:00:00
103,1,"Debate, 2024, United States presidential debates",5,1900-06-27 23:00:00
104,2,"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",5,1900-06-27 23:00:00
105,4,"Kamala Harris, Vice President of the United States, Democratic Party, Joe Biden, Pakistan",5,1900-06-27 23:00:00
106,5,"Donald Trump, Riot, United States Capitol, January 6",5,1900-06-27 23:00:00
107,6,"Abortion, Joe Biden",5,1900-06-27 23:00:00
108,7,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",5,1900-06-27 23:00:00
109,10,"Republican Party, John McGuire, Donald Trump, Virginia's 5th Congressional District, Primary election, Virginia",5,1900-06-27 23:00:00
110,11,"Joe Biden, Inflation",5,1900-06-27 23:00:00
111,13,"Joe Biden, Immigration",5,1900-06-27 23:00:00
112,14,"Hunter Biden, Admission to practice law, Joe Biden, New trial, Law",5,1900-06-27 23:00:00
113,15,"Estonia, NATO, Prime Minister of Estonia, Kaja Kallas, Jens Stoltenberg, Ukraine, Secretary General of NATO",5,1900-06-27 23:00:00
114,10,"Dan Patrick, Acting governor, Greg Abbott, Lieutenant Governor of Texas, Tropical cyclone",5,1900-07-07 19:00:00
115,52,"Taiwan, Greg Abbott, Governor of Texas, Asia",5,1900-07-07 19:00:00
116,53,"France, Jewish people, Marine Le Pen, National Rally, Antisemitism, Israel, Far-right politics",5,1900-07-07 19:00:00
117,65,"Douglas Emhoff, Kamala Harris, Second Lady/Gentleman of the United States, Joe Biden",5,1900-07-07 19:00:00
118,66,"Bob Menendez, United States Senator",5,1900-07-07 19:00:00
119,67,"Joe Biden, Republican Party, Republican National Convention, Civil and political rights, Democratic Party",5,1900-07-07 19:00:00
120,33,"Dan Patrick, Acting governor, Greg Abbott, Lieutenant Governor of Texas, Tropical cyclone",5,1900-07-07 21:00:00
121,64,"Joe Biden, Republican Party, Republican National Convention, Austin, Democratic Party",5,1900-07-07 21:00:00
122,65,"Mayor, Fox News, Georgia, Fox & Friends, Arabi",5,1900-07-07 21:00:00
123,68,"Stock, Stock market, Jerome Powell, Nasdaq, Wall Street, Federal Reserve System, Futures contract, Dow Jones Industrial Average, S&P 500",5,1900-07-07 21:00:00
124,74,"France, Jewish people, Marine Le Pen, National Rally, Antisemitism, Israel, Far-right politics",5,1900-07-07 21:00:00
125,27,"Joe Biden, Strike action, Trade union, Philadelphia, National Education Association, Harrisburg",5,1900-07-07 09:00:00
126,33,"Joe Biden, Parkinson's disease, The White House, Neurology, Neurologist, Dr. Kevin R. Cannard, MD",5,1900-07-07 09:00:00
127,50,"Donald Trump, Classified information",5,1900-07-07 09:00:00
128,65,"Donald Trump, Tariff, Income tax",5,1900-07-07 09:00:00
129,2,"Efficient energy use, Efficiency, United States Department of Energy, Joe Biden, Revolving Loan Fund, Grant",5,1900-07-02 05:00:00
130,20,"Jeffrey Epstein, Grand jury, Florida",5,1900-07-02 05:00:00
131,37,"Venezuela, Nicolás Maduro, Presidential election",5,1900-07-02 05:00:00
132,47,"Republican Party, Dulles International Airport, Indiana",5,1900-07-02 05:00:00
133,52,"Supreme Court of the United States, Corruption",5,1900-07-02 05:00:00
134,82,"Iran, Presidential election, Saeed Jalili, Ebrahim Raisi",5,1900-07-02 05:00:00
135,93,"Türkiye, Syria, Recep Tayyip Erdoğan, Riot",5,1900-07-02 05:00:00
136,107,"Nigeria, Freedom of religion, Religious persecution, Joe Biden, Nina Shea",5,1900-07-02 05:00:00
137,110,"Josh Duggar, Supreme Court of the United States, 19 Kids and Counting, Appeal",5,1900-07-02 05:00:00
138,15,"France, National Rally, Far-right politics, Agriculture, 2024, Jordan Bardella",5,1900-07-05 18:00:00
139,26,"Tyler Childers, The White House, Independence Day (United States), Angelica Hale, July 4",5,1900-07-05 18:00:00
140,27,"Joe Biden, George Stephanopoulos, Democratic Party, ABC News, Donald Trump, Interview",5,1900-07-05 18:00:00
141,42,"Arkansas, Abortion, Ballot",5,1900-07-05 18:00:00
142,50,"Joe Biden, Strike action, Trade union, Philadelphia, National Education Association",5,1900-07-05 18:00:00
143,53,"Bubba Wallace, NASCAR, Chicago, NASCAR Cup Series",5,1900-07-05 18:00:00
144,13,"Stock, Jerome Powell, Interest rate",5,1900-07-02 11:00:00
145,22,"Liquefied natural gas, Federal Energy Regulatory Commission, Joe Biden",5,1900-07-02 11:00:00
146,29,"Supreme Court of the United States, Social media, Joe Biden",5,1900-07-02 11:00:00
147,31,"Supreme Court of the United States, Donald Trump, Riot",5,1900-07-02 11:00:00
148,32,"Civil Rights Act of 1964, Law",5,1900-07-02 11:00:00
149,40,"Indiana, Medicaid, Children's Health Insurance Program",5,1900-07-02 11:00:00
150,66,"Jeffrey Epstein, Grand jury, Florida",5,1900-07-02 11:00:00
151,70,"George Floyd, Appeal, Police officer",5,1900-07-02 11:00:00
152,80,"Supreme Court of the United States, Corruption",5,1900-07-02 11:00:00
153,86,"Electronic cigarette, Supreme Court of the United States, Food and Drug Administration",5,1900-07-02 11:00:00
154,89,"Netherlands, Dick Schoof, Geert Wilders, Government, Far-right politics",5,1900-07-02 11:00:00
155,111,"NATO summit, Washington",5,1900-07-02 11:00:00
156,5,"Joe Biden, George Stephanopoulos, Democratic Party, ABC News, Donald Trump, Interview",5,1900-07-05 19:00:00
157,16,"France, National Rally, Far-right politics, Agriculture, 2024, Jordan Bardella",5,1900-07-05 19:00:00
158,28,"Bubba Wallace, NASCAR, Chicago, NASCAR Cup Series",5,1900-07-05 19:00:00
159,50,"Iran, Saeed Jalili, Presidential election",5,1900-07-05 19:00:00
160,59,"Tyler Childers, The White House, Independence Day (United States), Angelica Hale, July 4",5,1900-07-05 19:00:00
161,61,"Venezuela, Miami, Indictment, David Rivera, Presidential election",5,1900-07-05 19:00:00
162,62,"Arkansas, Abortion, Ballot",5,1900-07-05 19:00:00
163,14,"Supreme Court of the United States, Donald Trump, Riot",5,1900-07-02 10:00:00
164,15,"Supreme Court of the United States, Social media, Joe Biden",5,1900-07-02 10:00:00
165,29,"Jeffrey Epstein, Grand jury, Florida",5,1900-07-02 10:00:00
166,33,"Stock, Jerome Powell, Interest rate",5,1900-07-02 10:00:00
167,34,"Joe Biden, Liquefied natural gas, United States federal judge",5,1900-07-02 10:00:00
168,47,"Joe Biden, Heat wave",5,1900-07-02 10:00:00
169,79,"Novo Nordisk, Joe Biden, Bernie Sanders, Eli Lilly and Company",5,1900-07-02 10:00:00
170,88,"John Roberts, Supreme Court of the United States, Samuel Alito",5,1900-07-02 10:00:00
171,93,"George Floyd, Appeal, Police officer",5,1900-07-02 10:00:00
172,98,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",5,1900-07-02 10:00:00
173,100,"Supreme Court of the United States, Corruption",5,1900-07-02 10:00:00
174,40,"Reimbursement, Income tax, Income tax return, Tax deduction at source",5,1900-07-02 04:00:00
175,49,"Türkiye, Syria, Recep Tayyip Erdoğan, Riot",5,1900-07-02 04:00:00
176,80,"Ukraine, Lloyd Austin, The Pentagon, United States Department of Defense, July 2",5,1900-07-02 04:00:00
177,105,"Supreme Court of the United States, Regulation",5,1900-07-02 04:00:00
178,23,"Donald Trump, Classified information",5,1900-07-07 08:00:00
179,25,"Joe Biden, Parkinson's disease, The White House, Neurology, Neurologist, Dr. Kevin R. Cannard, MD",5,1900-07-07 08:00:00
180,40,"Joe Biden, Strike action, Trade union, Philadelphia, National Education Association, Harrisburg",5,1900-07-07 08:00:00
181,48,"Supreme Court of the United States, Assault weapon, Federal Assault Weapons Ban, Illinois, Second Amendment to the United States Constitution",5,1900-07-07 08:00:00
182,84,"NATO summit, Ukraine, Washington",5,1900-07-07 08:00:00
183,33,"Texas, Dan Patrick, Acting governor, Greg Abbott, Lieutenant governor, Tropical cyclone",5,1900-07-07 20:00:00
184,56,"France, Jewish people, Marine Le Pen, National Rally, Antisemitism, Israel, Far-right politics",5,1900-07-07 20:00:00
185,62,"Joe Biden, Republican Party, Republican National Convention, Austin, Democratic Party, Civil and political rights, LBJ Presidential Library",5,1900-07-07 20:00:00
186,63,"Douglas Emhoff, Kamala Harris, Vice President of the United States, Joe Biden",5,1900-07-07 20:00:00
187,65,"Taiwan, Greg Abbott, Governor of Texas, Asia",5,1900-07-07 20:00:00
188,62,"Dan Patrick, Acting governor, Greg Abbott, Lieutenant Governor of Texas, Tropical cyclone",5,1900-07-07 22:00:00
189,63,"Inflation, Jerome Powell, Federal Reserve System, Consumer price index",5,1900-07-07 22:00:00
190,0,"Donald Trump, Larry Kudlow, Jim Jordan, Debate, United States presidential debates, CNN, Joe Biden",5,1900-06-27 18:00:00
191,31,"Donald Trump, Mug shot, Atlanta, Republican Party",5,1900-06-27 18:00:00
192,37,"Debate, Devon, General election, Cornwall, Candidate, Liberal Democrats",5,1900-06-27 18:00:00
193,0,"Rudy Giuliani, Donald Trump, Disbarment, Mayor of New York City",5,1900-07-02 12:00:00
194,33,"Jeffrey Epstein, Grand jury, Florida",5,1900-07-02 12:00:00
195,42,"Electronic cigarette, Supreme Court of the United States, Food and Drug Administration",5,1900-07-02 12:00:00
196,50,"Stock, Jerome Powell, Interest rate",5,1900-07-02 12:00:00
197,56,"NATO summit, Washington",5,1900-07-02 12:00:00
198,88,"Supreme Court of the United States, Social media, Joe Biden",5,1900-07-02 12:00:00
199,90,"Supreme Court of the United States, Donald Trump, Riot",5,1900-07-02 12:00:00
200,94,"Supreme Court of the United States, Assault weapon, Second Amendment to the United States Constitution, Federal Assault Weapons Ban",5,1900-07-02 12:00:00
201,113,"Netherlands, Dick Schoof, Geert Wilders, Government, Far-right politics",5,1900-07-02 12:00:00
202,8,"Supreme Court of the United States, Social media, Joe Biden",5,1900-07-02 06:00:00
203,9,"Supreme Court of the United States, Donald Trump, Riot",5,1900-07-02 06:00:00
204,11,"Jeffrey Epstein, Grand jury, Florida",5,1900-07-02 06:00:00
205,27,"Efficient energy use, Efficiency, United States Department of Energy, Joe Biden, Revolving Loan Fund, Grant",5,1900-07-02 06:00:00
206,40,"United Kingdom, Conservative Party, Labour Party, Rishi Sunak, General election, Keir Starmer",5,1900-07-02 06:00:00
207,49,"Virginia, Virginia House of Delegates, Repeal, Glenn Youngkin",5,1900-07-02 06:00:00
208,53,"Supreme Court of the United States, Abortion, Idaho",5,1900-07-02 06:00:00
209,57,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",5,1900-07-02 06:00:00
210,73,"Miner, Republican Party, Silicon dioxide, United Mine Workers of America, Trade union, United States House of Representatives",5,1900-07-02 06:00:00
211,97,"Supreme Court of the United States, Domestic violence",5,1900-07-02 06:00:00
212,100,"European Union, Volodymyr Zelenskyy, Security agreement, President of Ukraine",5,1900-07-02 06:00:00
213,116,"Josh Duggar, Supreme Court of the United States, 19 Kids and Counting, Appeal",5,1900-07-02 06:00:00
214,138,"Hunter Biden, Admission to practice law, Joe Biden, Law, New trial",5,1900-07-02 06:00:00
215,25,"Jeffrey Epstein, Grand jury, Florida",5,1900-07-02 07:00:00
216,47,"Abortion, First Amendment to the United States Constitution, Wisconsin Supreme Court, Supreme Court of the United States",5,1900-07-02 07:00:00
217,56,"Supreme Court of the United States, Corruption",5,1900-07-02 07:00:00
218,64,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",5,1900-07-02 07:00:00
219,72,Supreme Court of the United States,5,1900-07-02 07:00:00
220,75,"Democratic Party, Supreme Court of the United States, Donald Trump, Joe Biden",5,1900-07-02 07:00:00
221,85,"Islamic State of Iraq and the Levant, United States Department of Homeland Security, Joe Biden",5,1900-07-02 07:00:00
222,90,"Joe Biden, Liquefied natural gas, United States federal judge",5,1900-07-02 07:00:00
223,112,"Supreme Court of the United States, Georgia Public Service Commission, Georgia",5,1900-07-02 07:00:00
224,1,"Rudy Giuliani, Disbarment, Donald Trump, Mayor of New York City",5,1900-07-02 13:00:00
225,59,"Stock, Jerome Powell, Interest rate",5,1900-07-02 13:00:00
226,66,"Jeffrey Epstein, Grand jury, Florida",5,1900-07-02 13:00:00
227,90,"Supreme Court of the United States, Assault weapon, Federal Assault Weapons Ban, Second Amendment to the United States Constitution",5,1900-07-02 13:00:00
228,106,"Republican Party, Dulles International Airport, Indiana, United States Representative",5,1900-07-02 13:00:00
229,108,"Francis Scott Key Bridge, The White House, Baltimore, United States Congress, Joe Biden, Disaster",5,1900-07-02 13:00:00
230,115,"Steve Bannon, Donald Trump, Supreme Court of the United States",5,1900-07-02 13:00:00
231,119,"Russia, Vladimir Putin, Emmanuel Macron, President of France, Dmitry Peskov",5,1900-07-02 13:00:00
232,0,"Donald Trump, Joe Biden, Atlanta, Debate, United States presidential debates",5,1900-06-27 19:00:00
233,29,"Donald Trump, Brian Kemp, Republican Party, Primary election, Georgia",5,1900-06-27 19:00:00
234,21,"Dan Patrick, Acting governor, Greg Abbott, Lieutenant Governor of Texas, Tropical cyclone",5,1900-07-07 23:00:00
235,28,"Joe Biden, Strike action, Trade union, Philadelphia, National Education Association",5,1900-07-07 23:00:00
236,54,"Marshawn Lynch, Gavin Newsom, Podcast, NFL, Seattle Seahawks",5,1900-07-07 23:00:00
237,32,"Joe Biden, Democratic Party, Kamala Harris",5,1900-07-03 08:00:00
238,51,"North Carolina, Veto, Roy Cooper",5,1900-07-03 08:00:00
239,48,"Iraq and Afghanistan Veterans of America, ex-serviceman, Paul Rieckhoff, Independence Day (United States)",5,1900-07-04 01:00:00
240,23,"Medal of Honor, Joe Biden, American Civil War, Philip G. Shadrach, Confederate States of America, Great Locomotive Chase",5,1900-07-03 20:00:00
241,27,"Jeffrey Epstein, Grand jury",5,1900-07-01 19:00:00
242,39,"Supreme Court of the United States, Joe Biden, Donald Trump, Executive Branch, Government",5,1900-07-01 19:00:00
243,45,"Supreme Court of the United States, Law",5,1900-07-01 19:00:00
244,55,"Rebate, Josh Shapiro, Pennsylvania",5,1900-07-01 19:00:00
245,34,"Arkansas, Abortion, Ballot",5,1900-07-06 10:00:00
246,11,"Iran, Saeed Jalili, Masoud Pezeshkian, Presidential election",5,1900-07-06 04:00:00
247,103,"Garda Síochána, Templemore, Drew Harris, Helen McEntee, Garda Commissioner",5,1900-07-06 04:00:00
248,2,"Taiwan, Greg Abbott, Governor of Texas",5,1900-07-08 01:00:00
249,10,"Dan Patrick, Acting governor, Greg Abbott, Lieutenant Governor of Texas, Tropical cyclone",5,1900-07-08 01:00:00
250,33,"Joe Biden, Strike action, Trade union, Philadelphia, National Education Association",5,1900-07-08 01:00:00
251,59,"Marshawn Lynch, Gavin Newsom, Podcast, NFL, Seattle Seahawks",5,1900-07-08 01:00:00
252,66,"Inflation, Stock, Federal Reserve System, Finance",5,1900-07-08 01:00:00
253,93,"Canada, Justin Trudeau, NATO summit, Ukraine",5,1900-07-08 01:00:00
254,5,"Greg Abbott, Taiwan, Governor of Texas",5,1900-07-08 15:00:00
255,7,"Joe Biden, Karine Jean-Pierre, White House Press Secretary",5,1900-07-08 15:00:00
256,13,"Hunter Biden, Joe Biden, The White House",5,1900-07-08 15:00:00
257,30,"Dan Patrick, Acting governor, Greg Abbott, Lieutenant Governor of Texas, Tropical cyclone",5,1900-07-08 15:00:00
258,35,"Bob Menendez, United States Senator",5,1900-07-08 15:00:00
259,42,"Ukraine, Volodymyr Zelenskyy, Poland, Donald Tusk, NATO, Prime Minister of Poland",5,1900-07-08 15:00:00
260,61,"Federal Reserve System, Inflation, Jerome Powell, Monetary policy, Chair of the Federal Reserve of the United States",5,1900-07-08 15:00:00
261,82,"Alec Baldwin, New Mexico, Halyna Hutchins, Incentive, Joel Souza",5,1900-07-08 15:00:00
262,92,"Joe Biden, Kamala Harris, Democratic Party, Gaslighting",5,1900-07-08 15:00:00
263,0,"Donald Trump, Joe Biden, United States presidential debates, Debate",5,1900-06-28 07:00:00
264,8,"Pension, Democratic Party, Pension fund, Bob Casey Jr., Joe Biden",5,1900-06-28 07:00:00
265,14,"Ukraine, Joe Biden, Russia, CNN",5,1900-06-28 07:00:00
266,17,"Republican National Convention, Republican Party, Milwaukee",5,1900-06-28 07:00:00
267,19,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate, Plymouth",5,1900-06-28 07:00:00
268,0,"Supreme Court of the United States, Donald Trump, Riot",5,1900-06-28 13:00:00
269,1,"Thomas Massie, Rhonda Massie, Republican Party, Member of Congress, Kentucky",5,1900-06-28 13:00:00
270,2,"Supreme Court of the United States, Social media, Joe Biden",5,1900-06-28 13:00:00
271,8,"Iowa, Supreme Court of the United States, Abortion law",5,1900-06-28 13:00:00
272,13,Supreme Court of the United States,5,1900-06-28 13:00:00
273,19,"Gavin Newsom, California, State of the State address",5,1900-06-28 13:00:00
274,23,"Inflation, Personal consumption expenditures price index, Federal Reserve System",5,1900-06-28 13:00:00
275,24,"Joe Biden, Debate, Donald Trump, Democratic Party, United States presidential debates",5,1900-06-28 13:00:00
276,26,Riot,5,1900-06-28 13:00:00
277,34,"Supreme Court of the United States, Associated Press",5,1900-06-28 13:00:00
278,35,"Michigan, Government budget, Gretchen Whitmer",5,1900-06-28 13:00:00
279,36,"Ana Villafañe, Holland Taylor, Broadway theatre, Nancy Pelosi, Alexandria Ocasio-Cortez, Mitzi E. Newhouse Theater, Diane Paulus",5,1900-06-28 13:00:00
280,38,"Republican National Convention, Republican Party, Milwaukee",5,1900-06-28 13:00:00
281,0,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",5,1900-06-28 12:00:00
